FECHA;CARRIER_ORIGEN;RUTA_ORIGEN;ASR_REAL;CALLS_TOTAL;CALLS_OK;MINUTOS;AVG_CALL
2026-06-05;STRATTON ARGENTINA S.A.;1926549-ENT;100;16;16;28,6;1,79
2026-06-05;TARJETA NARANJA SA;13095142-PX8-ENT;92,31;15;12;1,47;0,12
2026-06-05;CITYTECH SA;1914053-PREFIX5-ENT;22,22;14;2;0,23;0,12
2026-06-05;SEGUROS BERNARDINO RIVADAVIA COOP LTDA;1926286-ENT;16,67;14;2;6,37;3,18
2026-06-05;COMUNICACIONES MULTIMEDIA S.A;709319-ENT;100;14;14;16,57;1,18
2026-06-05;CYBERWAVE S.A.;2504364-ENT;100;14;6;6,5;1,08
2026-06-05;LINEAS LIDELSU SRL;13101414-CC-ENT;40;14;2;0,08;0,04
2026-06-05;IPLAN DIGITALK;TATA_DARWIN-DK-ENT;41,67;13;5;22,2;4,44
2026-06-05;NALDO LOMBARDI SA;13101945-PX8-ENT;18,18;12;2;0,17;0,08
2026-06-05;FIBERMAX SA;1553295-ENT;83,33;12;5;6,6;1,32
2026-06-05;NEOTEL SRL;697593-ENT;100;11;11;80,77;7,34
2026-06-05;TAG CONTINENTAL S.R.L.;592936-ENT;100;9;6;0,92;0,15
2026-06-05;TELECOM ARGENTINA S.A.;POI-SLORENZO-SIP-ENT;100;9;7;12,72;1,82
2026-06-05;WAVENET;332699-ENT;50;8;3;36,22;12,07
2026-06-05;BT LATAM ARGENTINA S.A. a borrar;BTLATAM-SIP-ENT;50;8;4;2,53;0,63
2026-06-05;IMPRUNETA S.A;1586407-ENT;0;8;0;0;0
2026-06-05;IPLAN INTERNATIONAL BUSINESS INC.;1593522-ENT;0;7;0;0;0
2026-06-05;TELEPROM ARGENTINA S.A.;2242668-ENT;100;7;6;1,08;0,18
2026-06-05;TELECOM ARGENTINA S.A.;POI-ARGUELLO-SIP-ENT;100;7;7;9,75;1,39
2026-06-05;GRUPO SERVICIOS JUNIN S.A.;487085-ENT;100;7;7;6,2;0,89
2026-06-05;BUDGET S.R.L.;2033423-ENT;0;5;0;0;0
2026-06-05;TELECOM ARGENTINA S.A.;POI-CAMPANA-SIP-ENT;100;5;5;7,82;1,56
2026-06-05;TELECOM ARGENTINA S.A.;POI-RIO4TO-SIP-ENT;0;5;0;0;0
2026-06-05;TELESERVICIOS Y MARKETING SRL;1573593-ENT;100;5;3;2,35;0,78
2026-06-05;TELECOM ARGENTINA S.A.;POI-SANPEDRO-SIP-ENT;0;3;0;0;0
2026-06-05;TELCONET S A;492513-ENT;50;3;1;2,27;2,27
2026-06-05;COOPERATIVA LIMITADA DE PROVISION DE SERVICIOS ELECTRICOS, OBRAS Y SERVICIOS PUBLICOS, ASISTENCIALES Y CREDITOS, VIVIENDA Y CONSUMO DE TRENQUE LAUQUEN;391001-ENT;100;3;2;15;7,5
2026-06-05;TELECOM ITALIA SPARKLE S.P.A.;653085-ENT;0;3;0;0;0
2026-06-05;ATENTO ARGENTINA S.A;1562239-ENT;0;3;0;0;0
2026-06-05;24/7 COMMUNICATION, INC;452369-ENT;100;3;3;64,8;21,6
2026-06-05;CONTACTO GARANTIDO SA;580464-ENT;0;2;0;0;0
2026-06-05;UNIVERSAL VIDEO CABLE S.R.L.;13094173-ENT;100;2;1;0,03;0,03
2026-06-05;STRATTON ARGENTINA S.A.;708115-ENT;100;2;1;1,95;1,95
2026-06-05;SION S.A.;2094116-ENT;100;2;2;0,3;0,15
2026-06-05;CENATTEL SA;1977892-ENT;0;2;0;0;0
2026-06-05;GRUPO LK S.A;2151658-ENT;50;2;1;0,07;0,07
2026-06-05;CYTRIC SOLUTIONS ARGENTINA SRL;13100684-ENT;0;1;0;0;0
2026-06-05;BAPRO MEDIOS DE PAGO  S.A.;1831755BAPRO-ENT;100;1;1;0,13;0,13
2026-06-05;DIDXL SP Z.O.O.;1760121-ENT;0;1;0;0;0
2026-06-05;PREVI SRL;1773829-ENT;0;1;0;0;0
