FECHA;CARRIER_DESTINO;RUTA_DESTINO;ASR_REAL;CALLS_TOTAL;CALLS_OK;MINUTOS;AVG_CALL
2026-06-06;TELECOM ARGENTINA S.A.;POI-RESTNCIA-SIP-SAL;30,8;106602;19963;3139,12;0,16
2026-06-06;INTERLINK FIBER NETWORK SA;FIRBER-SAL;80,75;81854;22083;8785,23;0,4
2026-06-06;TELECOM ARGENTINA S.A.;POI-CORDOBA-SIP-SAL;87,62;69093;36425;5123,73;0,14
2026-06-06;TELECOM ARGENTINA S.A.;POI-ROSARIO-SIP-SAL;85,85;62008;33563;4775,67;0,14
2026-06-06;INFOBIP LATAM SA;INFOBIP-SAL;91,58;46633;30396;11473,07;0,38
2026-06-06;TELECOM ARGENTINA S.A.;POI-POSADAS-SIP-SAL;48,94;36639;11582;1343,4;0,12
2026-06-06;Eduardo Trotta;ETROTTA-SAL;93,73;31390;15495;1366,25;0,09
2026-06-06;NSS S.A.;VoiPack-out;96,94;31318;28692;58206,85;2,03
2026-06-06;TELEGLOBE;422155-SAL;37,72;28508;2130;3139,3;1,47
2026-06-06;NUETEL;NUETEL1414-SAL;82,8;28409;14159;1590,37;0,11
2026-06-06;FIBERMAX SA;266585-SAL;52,58;23562;8113;708,95;0,09
2026-06-06;AGINET S.A.;AGINET-MOBILE-SAL;99,86;22744;12377;958,47;0,08
2026-06-06;IPLAN INTERNATIONAL BUSINESS INC.;9672318-SAL;23,9;22442;1678;894,28;0,53
2026-06-06;BICENTEL, LLC;BICENTEL-DID-SAL;76,06;20465;9894;5705,53;0,58
2026-06-06;CITYTECH SA;1893711-SAL;99,21;16039;15774;52092,05;3,3
2026-06-06;BERGAGNA CARLOS SEBASTIAN;DAINUS-SAL;99,36;15962;9907;600,17;0,06
2026-06-06;TELECOM ARGENTINA S.A.;POI-CRRNTES-SIP-SAL;75,68;15163;7087;962,37;0,14
2026-06-06;TELECOM ARGENTINA S.A.;POI-FORMOSA-SIP-SAL;72,48;12572;5262;712,2;0,14
2026-06-06;NSS S.A.;CVI-RETAIL-OUT;97,83;10414;8962;19296,87;2,15
2026-06-06;TARJETA NARANJA SA;13081166-SAL;100;9261;9250;21291,47;2,3
2026-06-06;NSS S.A.;NOGEO-CVI-SAL;98,03;8757;8391;21162,05;2,52
2026-06-06;LINEIP S.R.L.;13097620-PX8-SAL;0;8277;0;0;0
2026-06-06;IPLAN INTERNATIONAL BUSINESS INC.;DIDWW-DK-SAL;97,89;7481;7067;21230,53;3
2026-06-06;LEVEL 3;LEVEL3-LD-SAL;81,24;5687;2989;389,82;0,13
2026-06-06;TELECOM ARGENTINA S.A.;POI-SALTA-SIP-SAL;76,28;5326;1238;379,05;0,31
2026-06-06;TELECOM ARGENTINA S.A.;POI-CAMPANA-SIP-SAL;51,62;4888;1686;235,8;0,14
2026-06-06;TELECOM ARGENTINA S.A.;POI-PARANA-SIP-SAL;72,73;4810;1363;295,63;0,22
2026-06-06;TELECOM ARGENTINA S.A.;POI-SANTAFE-SIP-SAL;68,83;4467;1250;347,88;0,28
2026-06-06;IPLAN INTERNATIONAL BUSINESS INC.;AVOXI-DID-SAL;36,87;4361;1600;9055,58;5,66
2026-06-06;TELECOM ARGENTINA S.A.;POI-SGESTERO-SIP-SAL;75,67;3950;1179;303,25;0,26
2026-06-06;TELECOM ARGENTINA S.A.;POI-TUCUMAN-SIP-SAL;63,56;3887;1050;322,7;0,31
2026-06-06;Eduardo Trotta;TROTTA-REVSHARINGSAL;97,31;3569;3440;60789,7;17,67
2026-06-06;TIWS ARGENTINA II S.A;TIWS1-2033336-SAL;68,13;3485;1988;6343,03;3,19
2026-06-06;BELGACOM INTERNATIONAL CARRIER SERVICE S.A.;1453377-SAL;0;2723;0;0;0
2026-06-06;TELECOM ARGENTINA S.A.;POI-ESCOBAR-SIP-SAL;65,78;2697;1109;159,2;0,14
2026-06-06;IPLAN INTERNATIONAL BUSINESS INC.;2155168-TWILIO-SAL;97,85;2692;2551;22914,7;8,98
2026-06-06;TELECENTRO S.A.;TELECENTRO-LO-SAL;99,27;2520;817;588,02;0,72
2026-06-06;BUSSINESS TELECOMMUNICATIONS SERVICES INC.;636361-SAL;0;1887;0;0;0
2026-06-06;TELECOM ARGENTINA S.A.;POI-SNICOLAS-SIP-SA;83,18;1884;618;184,43;0,3
2026-06-06;V.I.S. MEDIA GROUP S.A.;VIS-DID-SAL;100;1668;1364;5375,42;3,94
2026-06-06;ORANGE BUSINESS SERVICES ARGENTINA SA;ORANGE-PRIMARY-SAL;100;1661;1612;5623,07;3,49
2026-06-06;TELECOM ARGENTINA S.A.;POI-JUJUY-SIP-SAL;84,36;1461;550;145,88;0,27
2026-06-06;TELECOM ARGENTINA S.A.;POI-RIO4TO-SIP-SAL;62,02;1404;387;145,03;0,37
2026-06-06;GM TELECOM CORPORATION;GM-DID-SAL;63,45;1383;861;11604,32;13,48
2026-06-06;COMERCIALIZADORA ONLINE S.A;EUROCALLDID-SAL;100;1356;1356;4874,28;3,59
2026-06-06;TELECOM ARGENTINA S.A.;POI-VCPAZ-SIP-SAL;79,07;1343;495;104,87;0,21
2026-06-06;GESTION LEGAL S.A.;GESTIONLEGAL-SAL;100;1272;1272;2896,62;2,28
2026-06-06;NSS S.A.;407301-BASAM-SAL;96,96;1266;1212;2468,05;2,04
2026-06-06;TELECOM ARGENTINA S.A.;POI-ARGUELLO-SIP-SAL;81,75;1218;515;104,25;0,2
2026-06-06;MERA SOLUTIONS SA;MERA-DID-SAL;100;1149;1143;4694,27;4,11
2026-06-06;BELGACOM INTERNATIONAL CARRIER SERVICE S.A.;BICS-DID-SAL;98,12;1134;990;4987,43;5,04
2026-06-06;TELECOM ARGENTINA S.A.;POI-ZARATE-SIP-SAL;87;1088;482;87,4;0,18
2026-06-06;TELECOM ARGENTINA S.A.;POI-SANPEDRO-SIP-SAL;23,44;1060;169;23,43;0,14
2026-06-06;IDT CORPORATION DE ARGENTINA S.A.;IDT-DID-SAL;88,66;1025;868;1505,12;1,73
2026-06-06;KONECTA SERVICIOS ADMINISTRATIVOS Y TECNOLOGICOS;1639305-SAL;99,8;1021;1012;3783,23;3,74
2026-06-06;AGINET S.A.;AGINET-NUM-BLOCK-SAL;100;973;412;52,27;0,13
